Station,Lat,Long,Travel Time
Burlington GO,43.3404,79.8098,62
Oakville GO,43.4555,79.6835,42
Clarkson GO,43.5125,79.6343,34
Port Credit GO,43.556,79.5869,28
Brampton GO,43.6869,79.7647,44
Bramlea GO,43.7019,79.6912,36
