,City,count,mean,std,min,25%,50%,75%,max,School
0,Mississauga,18.0,6.499999999999999,2.0155279559401973,0.0,6.174999999999999,7.1,7.5,8.8,Highschool
1,Brampton,16.0,5.9312499999999995,1.9248268320379716,0.0,5.35,6.35,7.025,8.1,Highschool
2,Brampton,50.0,6.354000000000001,1.2969682072480593,3.0,5.7,6.45,7.2,9.6,Elementary
3,Mississauga,92.0,6.8065217391304325,1.3769535052303594,2.6,5.9,7.0,7.6,9.5,Elementary
4,Oakville,44.0,7.522727272727274,1.0868909438807848,3.7,6.975,7.65,8.2,9.2,Elementary
5,Oakville,7.0,8.342857142857143,0.5826867164470196,7.6,7.9,8.4,8.7,9.2,Highschool
6,Burlington,42.0,6.678571428571429,1.2732780269045365,3.7,6.0,6.7,7.7,8.8,Elementary
7,Burlington,7.0,7.000000000000001,0.5033222956847166,6.2,6.75,7.1,7.25,7.7,Highschool
