,City,count,mean,std,min,25%,50%,75%,max,School
0,Brampton,16.0,5.9312499999999995,1.9248268320379716,0.0,5.35,6.35,7.025,8.1,Highschool
1,Mississauga,18.0,6.499999999999999,2.0155279559401973,0.0,6.174999999999999,7.1,7.5,8.8,Highschool
2,Oakville,7.0,8.342857142857143,0.5826867164470196,7.6,7.9,8.4,8.7,9.2,Highschool
3,Burlington,7.0,7.000000000000001,0.5033222956847166,6.2,6.75,7.1,7.25,7.7,Highschool
